Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
27-Sep-21,2021,Boeing 757-224 (WL),Boeing,N12125,United Airlines,0,"Newark-Liberty International Airport, NJ (EWR)",sub,Pilot Error,0,0
28-Sep-21,2021,IAI 1124A Westwind II,IAI,PR-BVB,Brasil Vida Táxi Aéreo,0,"Goiânia-Santa Genoveva Airport, GO (GYN)",sub,Pilot Error,0,0
29-Sep-21,2021,Britten-Norman BN-2B-26 Islander,Britten-Norman,J8-VBI,SVG Air,0,Montserrat-John A. Osborne Airport (MNI),sub,Mechanical Failure,0,0
1-Oct-21,2021,Embraer ERJ-175LR,Embraer,N730YX,"United Express, opb Republic Airlines",0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,ATC/Pilot Miscommunication,0,0
1-Oct-21,2021,Embraer ERJ-175LR,Embraer,N142SY,"United Express, opb SkyWest Airlines",0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",min,ATC/Pilot Miscommunication,0,0
8-Oct-21,2021,Boeing 737-8H4 (WL),Boeing,N8642E,Southwest Airlines,0,"Lexington, Virginia",non,Turbulence,0,0
8-Oct-21,2021,Learjet 35A,Learjet,unreg.,private,0,"near Little Belize, Corozal",w/o,Miscellaneous,0,0
13-Oct-21,2021,Bombardier BD-700-1A10 Global 6000,Bombardier,9H-VJM,VistaJet,0,Johannesburg-O.R. Tambo International Airport (JNB),sub,Pilot Error,0,0
14-Oct-21,2021,Antonov An-2T,Antonov,N857PF,private,0,"near Wilton-Alta Mesa Airpark, CA",w/o,Mechanical Failure,0,0
18-Oct-21,2021,Beechcraft 200 Super King Air,Beechcraft,N996LM,Lowcountry Aviation Co Brokerage LLC,0,"Mount Pleasant Regional-Faison field, SC (KLRO)",sub,Pilot Error,0,0
19-Oct-21,2021,Antonov An-2R,Antonov,RA-33350,AeroUral,0,"near Alapayevsk, Sverdlovsk region",sub,Mechanical Failure,0,0
19-Oct-21,2021,Rockwell Sabreliner 60,Rockwell,XB-ETV,private,0,Jacmel Airport (JAK),sub,Runway,0,0
19-Oct-21,2021,McDonnell Douglas MD-87,Boeing,N987AK,987 Investments LLC,0,"Houston Executive Airport, TX (KTME)",w/o,Mechanical Failure ,0,0
22-Oct-21,2021,Embraer EMB-500 Phenom 100,Embraer,N925DR,Scout About LLC,0,"Orlando International Airport, FL (MCO)",sub,Pilot Error,0,0
22-Oct-21,2021,Cessna 208B Supervan 900,Cessna,N754KP,Alaska Seaplanes,0,"Juneau International Airport, AK (JNU)",sub,Undetermined,0,0
23-Oct-21,2021,Embraer ERJ-175LR,Embraer,N252NN,"Envoy Air, opf American Eagle",0,"Miami International Airport, FL (MIA/KMIA)",non,Miscellaneous,0,0
29-Oct-21,2021,Cessna 208B Grand Caravan,Cessna,PK-RVH,Reven Global Transpor,0,Dagi Baru Airstrip,w/o,Pilot Error,0,0
30-Oct-21,2021,Beechcraft 200 King Air,Beechcraft,C-GEHS,"PAL Airlines, opf EHS LifeFlight Services",0,"Halifax-Stanfield International Airport, NS (YHZ/CYHZ)",sub,Mechanical Failure ,0,0
1-Nov-21,2021,de Havilland Canada DHC-6 Twin Otter 300,de Havilland Canada,C-GNPS,Air Tindi,0,"12,4 km NW of Fort Providence, NT",sub,Pilot Error,0,0
